month,西安,兰州,西宁,银川,乌鲁木齐,拉萨,咸阳,铜川,延安,宝鸡,渭南,金昌,嘉峪关,石嘴山,克拉玛依,巴音郭楞州,吐鲁番地区,哈密地区,昌吉州,博尔塔拉蒙古自治州,阿克苏地区,克孜勒苏柯尔克孜自治州,喀什地区,和田地区,伊犁哈萨克州,塔城地区,阿勒泰地区,石河子,五家渠,汉中,榆林,安康,商洛,白银,天水,武威,张掖,平凉,庆阳,陇南,甘南州,海东地区,海北藏族自治州,黄南藏族自治州,海南藏族自治州,果洛藏族自治州,玉树藏族自治州,海西蒙古族藏族自治州,吴忠,中卫,固原,昌都,山南,日喀则,阿里地区,林芝,兰州新区,西咸新区
23-Dec,114.4,97.6,66.5,87.5,84.1,31.3,126.2,91.3,70.3,104.7,111.7,69.9,62.2,103.7,57.3,140.3,121.9,86.1,111.2,61.2,273.5,250.3,283.6,239.3,78.3,47.7,24.3,112.9,119.4,101,74.6,74.8,62.5,81.2,91,77.1,71.5,70.8,76.6,73.3,57.3,65.4,34.6,53.2,48.9,43,27.2,35.3,90.5,91.9,66,25.9,29.6,37.7,24.9,21.2,79.6,121.4
24-Jan,113,87,64.9,84.7,99.4,27.1,121.4,86.5,65.5,97.6,110.9,73.8,64.1,89.8,70.4,90,146.7,91.8,127.8,62.9,117.8,114.3,148.6,173.6,85.4,41.2,23.6,138,141.1,101.2,59.4,72.6,66.6,70.3,73.9,86.7,76.3,65,68.5,61.8,56,63.4,38,49.2,41.4,34.5,24,35.5,76.8,89.5,60.4,25.5,25.7,35.9,23.4,22.7,74.2,116.6
24-Feb,133.8,107.6,98.5,99,115.6,32.9,141.7,106.4,102.2,130.1,115.8,99.7,95.9,99.8,80,204.9,158.9,98.4,149.8,82,233.2,259.2,277.3,264.4,65.2,42.8,32.3,156,150.3,94.1,96.5,74.3,93.1,103.9,91.5,119.7,111.3,100.1,100.2,75.7,66,99.5,74.3,80.6,66.4,42.2,27.7,62.5,108.5,118.6,90.8,25.9,39.5,35.8,29.9,28.3,99.6,129.4
24-Mar,93.4,90.7,71.3,75.7,63.4,32,99.5,82.2,75.8,80.7,89.8,83.6,78.6,82.4,39.8,181.7,121.9,82.5,68,49.5,137,158.6,181.9,219.5,48.4,30.7,26.9,63.1,71,60.5,82.6,55.8,68,84.6,62.8,83.4,95.8,80.5,80.5,62.2,60.7,73.6,54.4,62.9,58.1,42.2,29,57.3,88.9,106.3,75.4,26.2,36.7,33.1,29.4,30.5,84.7,92.9
24-Apr,87,88.8,66.9,80.3,60.7,39.4,90.8,72.8,65.3,82.6,79.5,101.8,87.2,93.1,53.1,102.3,168.6,87.7,62.8,63.8,146.2,141,169.1,259.8,45,36.1,31,63.5,64.8,53,61.8,46.2,61.9,92.9,55,104.6,109,88.9,83.1,49.2,46.1,68.6,62.7,52.2,56.5,41.3,33.8,68.1,92,131.2,96.3,32.1,42.8,43.8,40.2,31.5,91.9,83.6
24-May,59,61.3,55.7,68.4,54.1,40.9,63.1,55.6,56.3,52.4,59.5,111.2,143.6,75.5,34.9,103.1,107.6,107.8,57.1,42.1,117.6,98,116.5,234.5,40.4,35.8,32.8,54.2,61.6,46.9,60.8,42.5,47.9,65.2,45.6,102.4,124.7,57.1,51.8,48,46.8,58.1,47.8,43.4,44.2,35.1,38.5,53.4,71.1,79.6,50.2,33.7,40.3,43.6,46.9,31.4,67.2,59.9
24-Jun,55.5,46.1,39.9,67.7,39.4,38.9,60.9,55.8,50,41.3,58.8,58.5,55.9,65.8,33.7,62,56.8,49.3,40.9,36.4,60.2,54.9,65.3,167.2,43.8,33.3,32.4,36.7,47.3,38.3,52.7,35.7,46.4,44.1,38.5,50.8,60.8,46.4,47.1,38,37,40.7,37.4,34.1,36,33.5,39.8,40.8,65.5,59.7,38,29,35.6,39.4,51.2,21.3,44.6,58.7
24-Jul,44.1,62,47.5,68.9,39.2,26,46.6,41.2,40.3,38.6,41.9,65.4,69.1,66.1,33.5,58.3,48.1,51.1,41.8,33.3,47.9,61,70,188,39.7,27.8,28.7,37.9,44.6,31.3,52.1,29.9,31.6,59.5,35.2,59.1,68.9,48.2,42.6,33.3,39.8,52.4,43.4,47,42.8,30.7,27.4,45.8,62.4,67.2,47.4,18,23,27.7,39.5,12.6,62.4,43.5
24-Aug,51.8,46,39.8,46.5,40.4,27.9,55.6,43.5,38.8,45.1,46.1,53.7,53.5,44.3,32.4,58.2,61.7,52.3,42.3,33.2,59.7,74,81.9,286.5,41.8,29.7,29.7,38.4,47.2,35.8,38.9,32,37.5,41.9,37,48.6,55.3,46.6,43.9,39.7,35.8,42.5,35.2,32.7,39.5,32.8,30.9,40.2,48.5,54.9,42.9,25.4,27.9,27.9,33,19.1,45.6,49.2
24-Sep,53.5,41.3,34.3,48.3,38.2,24.9,59,47.5,41,46.9,54.2,49,48.1,48.4,29.6,75,83.2,57.5,39.8,37.6,72.9,98.5,121.2,203.2,43.3,29.2,26.2,34.5,41.3,37.4,38.5,36.2,37.7,37.3,35.7,40.6,42.6,46.2,40.3,36.3,28.8,37,31.9,28.9,30.1,26.1,23.6,41,44.5,51.2,33.5,18.3,26.1,25.4,30.1,17.7,38.7,57.6
