month,沈阳,大连,长春,哈尔滨,鞍山,抚顺,本溪,锦州,吉林,齐齐哈尔,牡丹江,大庆,营口,丹东,盘锦,葫芦岛,阜新,辽阳,铁岭,朝阳,四平,辽源,通化,白山,松原,白城,延边朝鲜族自治州,鸡西,鹤岗,双鸭山,伊春,佳木斯,七台河,黑河,绥化,大兴安岭地区
Aug-23,29.6,25.8,24.5,26.5,39.8,26.7,34.5,34.3,22.6,21.2,15.6,14.7,30.7,19.4,24,35.3,36.3,38.4,26,36.6,23.1,19.6,19.8,30.9,15.1,15.5,16.9,23.2,16.5,19.3,13,21.2,16,16.7,16.3,12.2
Sep-23,41.9,31.2,35,33.4,48.7,38,45.7,42.9,31.7,26.5,27.7,23.5,41.9,30,30.5,42,46.3,44.3,38.2,44.9,35.4,26.5,30.8,41.9,25.2,26.8,24.5,37.6,28.9,27.6,18.3,27.5,23.2,17,24.8,14.5
Oct-23,59.5,47,59.9,59.8,62.1,59.3,61.4,58.5,53.4,41.4,49.2,42.1,60.1,35.9,39.1,57,64.2,53.2,56.9,57.9,55.7,51.6,37.5,54.5,48.3,45.5,39.4,54.9,40.5,42.7,29.7,41,44.9,28.6,49.5,23.2
Nov-23,56.6,46.4,47.6,58.4,58.3,53,57.9,56.9,56.4,41.8,48.8,47.7,54.5,39.3,42.6,62,51.7,54.5,53.2,53.2,50,37.4,30.8,50,45.2,44.5,27.6,43.8,34.3,45,36.4,39.3,47.3,24.6,63.9,23.8
Dec-23,81.7,64.3,55.4,77,76,74.5,77.1,83.2,55.6,44,64.3,49.5,82.4,60.2,63,87.4,72.8,71.1,70.1,70.6,63.2,51.9,54.7,74.5,52.4,42.5,,55.9,43.2,50.8,50.3,45.7,66.5,31.2,76.6,22.3
Jan-24,72.9,53.5,62.5,97.1,76.5,80,73.5,66.5,73.9,44.8,71.8,63.6,71.2,59.8,52,74.5,59.4,68.1,69.2,63.9,69.9,53.9,56.7,75.3,59.8,49.3,37.7,69.9,46.6,71.1,48.1,66.9,81.3,32.5,89.8,26.5
Feb-24,89.6,72,83.2,109.9,104.2,93.1,94.4,68.9,94,62.1,68.3,70.5,92.2,66.1,66.7,73.4,65.9,96.2,85.9,80.8,90.3,76,64.9,80.8,79,65.3,47.6,62.2,48.4,65.6,52.2,59,62.8,37.4,91.6,31.2
Mar-24,84.7,73.1,65,59.8,98.7,86.1,84.3,81.9,71.8,51.5,50,56.8,84.6,56.7,75.1,82.3,87.4,93.8,81.9,86.8,75.4,49.5,46.9,63.6,58,64.3,46.4,46.9,57.5,45,39.1,51.7,42.7,30.6,47.7,26
Apr-24,95,63.9,93.4,88.5,92,96.5,84.6,74.6,96.8,75.5,66.8,71.4,78.4,62.4,71.5,70.6,76.5,87.4,101.3,61.7,101.4,68.5,59.6,75.8,77.5,76.2,52.3,71.1,55.8,62.8,45.3,57.7,64.5,34.1,77.9,29.7
May-24,48.8,48.6,42.1,46.4,55.2,51.3,49.3,57.5,41.3,37.4,35.2,38.4,55.6,36.2,47.8,60,60.7,52.1,49.5,50.3,43.8,30.2,27.8,40.6,44.6,35.7,29.1,39.2,34.5,41.2,30.1,33.2,37.6,30.7,35.7,19.8
Jun-24,35.4,31,32.6,35.1,40.5,38.2,37.6,44.9,33.7,28,26,28.8,32.9,26.9,36.4,45.1,45.2,38.6,38.8,48.7,35.2,25.5,22.2,35.3,30.4,24.3,22.2,27.1,21.6,26.1,20.7,22.9,20.5,27.3,20.5,20.2
Jul-24,36.7,29.6,38.1,49.3,40.5,35.2,33.2,43.5,37.9,46.4,35.4,41.5,33.1,22.8,34.8,42.2,42.2,40.3,41.3,49.6,35.8,27.3,23.6,38.2,33.1,34.6,28.7,37.8,39.2,40.9,36.6,37.8,39.9,56.5,32.7,45.3
Aug-24,31.6,29.8,26.9,33.2,39,32.2,37.3,33.8,26.4,24.2,24.7,25.8,34.2,23.7,27.5,35.7,33.3,36.8,29.2,29.4,25.1,22.1,21.8,33.2,19.1,21.8,19.4,25,22.4,24.4,17.4,22.5,23.9,25.5,18.1,17.1
Sep-24,35,29.5,30,36.4,42.8,29.8,32.3,32.9,26.6,27.6,29.3,31.7,41.3,27.2,25.7,34.1,33.9,38.3,31.1,30.4,28.1,25.3,21.6,34,24.9,26.8,22.1,30,30.9,27.4,23.2,22.7,30.7,23.8,23.9,17.2
Oct-24,57.3,39,45.2,51.2,62.3,61.2,55.2,54.7,47.9,43,43.9,40.3,54.6,42,36,54.6,51.6,52.1,54.1,43.7,46.8,44.4,35.2,56.5,40.1,33.4,33.3,47.1,44.2,41.7,36.1,35.9,48.5,35.4,67.8,27
Nov-24,53.6,39.2,62.2,97.7,55.4,57.8,52.9,62.4,51.6,77.3,57.2,93,52.5,53.5,39.9,57,66.9,49.4,50.6,56.4,55,47.5,37.2,62.8,56,57.8,40.7,64.3,42.9,54.3,38.1,52.5,62.1,38.3,134.2,36
Dec-24,59.9,37,47,62.3,61.4,75.5,64.8,61.9,44.8,38.2,47.2,46.5,57.7,56.4,43.8,61.1,60.1,62.6,55,53.2,53.9,45,49.8,66.3,47.6,36.4,32.3,34.8,30.8,42.7,45.6,36.2,45.3,28.5,53.2,19.1
Jan-25,88.6,53.3,71.5,129.6,99.7,93,89.9,75.4,73.7,98.9,75.3,100.3,101.5,66.9,69.9,80.4,72.3,91.8,80.7,76,77.5,69.3,59.1,70.2,78.9,67.2,43.1,74.1,55.3,95.7,63,84,94.9,42.2,131,36
