month,西安,兰州,西宁,银川,乌鲁木齐,拉萨,咸阳,铜川,延安,宝鸡,渭南,金昌,嘉峪关,石嘴山,克拉玛依,巴音郭楞州,吐鲁番地区,哈密地区,昌吉州,博尔塔拉蒙古自治州,阿克苏地区,克孜勒苏柯尔克孜自治州,喀什地区,和田地区,伊犁哈萨克州,塔城地区,阿勒泰地区,石河子,五家渠,汉中,榆林,安康,商洛,白银,天水,武威,张掖,平凉,庆阳,陇南,甘南州,海东地区,海北藏族自治州,黄南藏族自治州,海南藏族自治州,果洛藏族自治州,玉树藏族自治州,海西蒙古族藏族自治州,吴忠,中卫,固原,昌都,山南,日喀则,那曲地区,阿里地区,林芝,兰州新区,西咸新区
Nov-22,122.7,96.1,70.6,89.2,55.9,16.1,137.5,95.1,74,98.4,127.4,108.8,95.2,94,33.1,180.1,155.9,71.4,60.1,55.2,207.1,164.8,205.6,234.4,57.4,21.9,16.4,67.9,67.3,63.2,65.5,55.8,61.4,90.8,72.3,125.3,106.2,80.2,78.6,57.2,47.8,79.5,46.6,55,53.3,37,18.1,42,95.7,112,71.8,23.5,32.8,20.7,39.6,9.8,12.6,116.3,128.9
Dec-22,151.9,150.9,107.3,90.8,127.7,28.7,172.2,116.1,83.8,123,155,123.4,117.2,101.6,81.3,199.4,201.4,107.2,160.2,86.2,252.7,340.3,435.3,477.2,109.9,24.3,19.6,157.4,190,121.2,75.9,90.9,85.5,144.2,105.2,156,120.8,107,103,95.9,70.3,111.7,42,76.8,52.6,37.5,23.1,32.4,108.5,152.6,113.1,29.8,43.6,31.7,46.5,10,12.1,158.5,168.1
Jan-23,188.1,159.1,106.8,133.4,149.5,32,218.6,128.8,105.9,151.4,191.5,158.2,171.7,143.2,88.3,255.9,261.5,192,193.7,94.6,218,175.8,283.3,409.4,142.7,25.1,16.5,200,225.9,150.4,95.9,105.3,98.3,144.7,128.9,193,176.7,128,121.6,92.4,92.2,111.3,60.1,90.1,90.5,68.6,30.2,87.9,164.3,192.6,136.2,23.1,46.2,24.8,51.1,11.7,12.6,138.8,196.7
Feb-23,143.3,100.3,77.5,94.1,156.6,36.8,155.8,104.9,78.2,125.4,138.5,83.2,116.5,92.1,76.2,187.3,188.8,122.9,181.8,91.9,151.6,129.8,193.7,295.7,89.5,24.9,19.6,181.4,185.6,80.7,65.2,67.9,68.3,79.8,84.4,102.8,89,97.4,82.3,58.2,60.9,79.1,40.2,58.4,50.4,46.8,25.7,43.4,92.6,100.2,75,22.9,43,31.1,72,12.5,12.8,88.9,137.7
Mar-23,132.8,170.8,140.7,142.9,97.5,18.5,139.5,123.9,116.5,115.2,135.4,198.5,167.2,178,48.3,283.4,184.4,140.7,97.1,72.2,366.4,275.5,370.7,483.8,62.7,26.7,21.8,91.2,103.7,71.4,155.7,62,92.4,168.2,80.9,283.1,237.9,116.8,104.5,61.9,88,164,79.7,85.9,81.6,44.8,16,44.9,147.3,165,116.9,14.9,22.9,22.9,30.9,10.7,9.7,195.3,132.2
Apr-23,174.2,175,132.1,171.7,87.6,28.2,183.1,162.1,155.6,153.8,180.5,201.5,203.9,210.9,43.5,403.6,314.6,145.1,89.6,78.7,591.8,476.6,518.7,606.7,60,37.8,25.2,81.5,86.2,82.6,182,74.4,127.5,185.8,113.4,239.8,229.4,171.1,156.6,79.8,118.7,157.8,119.9,116.4,144.8,53.1,24.2,124.7,210.1,267.9,178.3,17.9,28.1,26.8,43.6,17.6,12.9,177.3,176.1
May-23,51.1,89.1,64.3,74.8,49.1,19.5,55.3,48.7,52,49.5,53.2,110.1,115.5,95,27.5,81.5,98.2,77.5,49.3,51.4,113.7,161.8,201.9,475.7,46.5,34.1,26.4,45.1,57.3,42.5,74.4,40.6,43,86.2,46.6,116.9,130.8,64.2,51.1,49.2,46.2,75.7,42,45.6,45.4,30,13.3,38.7,75.7,99.2,62.7,12.8,17.6,19.3,29,20.3,8.4,103.1,52.8
Jun-23,43.2,57.2,37.2,48.7,49.5,18.8,52.1,42.9,37.4,36.9,43.6,79.8,66.7,56.1,30.1,72.8,80,43.6,45.2,39.6,85.5,79.2,106.9,393.6,52.7,34,35.9,44.2,60,37.7,41,34.8,37.6,55.3,38.3,90.2,72.4,47.4,40.4,38.4,32.8,40.1,24.1,27.2,30.8,35.3,8.8,21.4,51.5,84.1,41.7,11.7,15.4,13.8,20.6,12.6,9.3,66.9,50.6
Jul-23,47.7,48,36.9,51.6,43.8,12.5,51.2,44.1,37.3,41.7,49.3,87.4,81.9,61.4,27.2,82.3,77.7,69.6,43.5,36.7,77.1,93.1,113.7,287,47.6,31.1,27.8,39.3,55.7,32.4,37.5,30,36.7,43.1,32,85.9,57.9,45.2,42.5,31.2,32.7,38.9,26.8,28.9,23.9,27.4,8.5,31,63.2,73.4,33.1,11.4,10.2,7.6,24.1,8.2,7.6,53.6,50.6
Aug-23,45.9,55.6,40.8,46,43.2,12.7,46,42.2,36.4,40.9,42.9,66.3,72,56.7,25.5,75.7,67.8,77.4,45.1,32,83.6,108.9,140,395.7,47.3,38.3,29.6,41.1,54.1,29.2,48.8,29.7,38.2,61,31.3,64.8,70.3,43.4,37.4,27.6,30.2,46.5,31.5,26.8,21.9,22.9,8.7,32.2,52.3,71.9,34.7,11.5,9.8,8,24.6,11.7,7,62,45
